,Program,year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%),key,longitude,latitude,EVI_04-07,EVI_04-23,EVI_05-09,EVI_05-25,EVI_06-10,EVI_06-26,EVI_07-12,EVI_07-28,EVI_08-13,EVI_08-29,EVI_09-14,EVI_09-30,EVI_10-16,pr_04-07,pr_04-23,pr_05-09,pr_05-25,pr_06-10,pr_06-26,pr_07-12,pr_07-28,pr_08-13,pr_08-29,pr_09-14,pr_09-30,pr_10-16,tmmx_04-07,tmmx_04-23,tmmx_05-09,tmmx_05-25,tmmx_06-10,tmmx_06-26,tmmx_07-12,tmmx_07-28,tmmx_08-13,tmmx_08-29,tmmx_09-14,tmmx_09-30,tmmx_10-16
0,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,DE WITT,39.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,65.9,,DE WITT-ILLINOIS,-88.9057578218675,40.17347060603299,1713.2869655938387,1937.6021078416961,2207.790678839273,2679.3004237806836,3875.382255369559,5227.82472859204,6837.546896289677,7519.847308733683,6867.854024560022,6256.634434115783,2738.7571473958947,2118.457772616531,1629.9615918494494,0.0,0.0,0.0,0.0,0.0,0.8714285727058139,0.3371428587606975,0.0,0.0,0.0,0.0,0.0,0.0,286.9228567940848,295.9299983433315,300.11857038225446,293.7528568812779,304.09286063058033,295.9199946812221,305.68714120047434,300.98428519112724,299.4742858886719,299.74000026157927,301.1671417236328,295.43571297781807,291.86000191824775
1,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,LOGAN,107.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,64.7,,LOGAN-ILLINOIS,-89.3656043693413,40.122084531354275,1808.868243776793,1996.9098399530853,2164.4353745992316,2691.361854506451,4124.96839711893,5364.217173396153,7034.545122758282,7834.624239168372,7187.296686218335,6412.061217934653,4246.866802406028,2359.93100366427,1580.9433203539638,0.0,0.0,0.0,0.0,0.0,3.5396039615763297,0.45544554573474544,0.0,0.0,0.0,0.0,0.0,0.0,287.6940594663714,296.10792526396193,302.3425728070854,295.497029823832,304.18514924002164,296.3831648118425,306.36633572720064,301.3475217913637,299.2178223864867,299.69009822429996,302.2643568586595,295.8485152745011,292.23465358620825
2,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,MACON,115.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,66.2,,MACON-ILLINOIS,-88.97049093213556,39.86038257375481,1805.0896286703849,1908.1033752048243,2035.158086551286,2659.547535996464,3819.9873322101107,5048.441626789786,6669.551578269664,7638.4953587943655,6996.259495820802,5963.821936311524,2845.295902110775,2176.7801395071015,1674.1690555647544,0.0,0.0,0.0,0.0,0.0,0.9301204850156624,0.2746987920927714,0.0,0.0,0.0,0.0,0.0,0.0,287.0180726568383,296.07349625552996,302.507227886154,295.29879466596856,303.82650646531437,295.9831307652485,306.36626461902296,301.2891558911427,299.2518100968326,300.3951802081372,301.344578754471,296.0891543468797,291.92168564394296
3,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,MARSHALL,123.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,60.1,,MARSHALL-ILLINOIS,-89.34615065993196,41.03813867984767,1744.8546460956356,2246.5526887605915,2492.3185600118813,2566.985738073306,3649.164176020555,5103.19673912833,6772.407264579074,7474.834102526823,7332.040105453141,6671.210814770812,5112.481297642846,2734.983792177245,1753.88509226771,0.0,0.0,0.0,0.0,0.0,0.5298507453790352,24.180597006385007,0.0,0.0,0.0,0.0,0.0,0.0,287.373132050927,295.70746487290114,293.3716412444613,292.79104386514695,304.0253746829816,295.7298506551714,304.11791126763643,300.3985081003673,298.716418365934,299.36865644312616,301.80597060473997,295.0029834348764,291.5402977786847
4,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,MASON,125.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,62.1,,MASON-ILLINOIS,-89.88415749721644,40.2396050374186,2195.6966870173965,2232.65076038033,2291.289473810636,2874.8835498915073,3416.799659530824,5192.885474298845,6639.91788084332,7082.2902257335545,6697.854660162206,5649.917936587143,4650.150768331341,2569.3925929008956,1963.2880341989546,0.0,0.0,0.0,0.0,0.0,3.0569892461581896,5.812903194337763,0.0,0.0,0.0,0.0,0.0,0.0,288.36343908822664,296.06129275086107,302.89892348422796,295.68602235855593,304.0569920693674,296.60215185021843,306.4698919480847,301.8956991216188,298.8505354030158,300.1032275128108,303.010750719296,295.9118271694388,292.5419367308258
5,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,MCLEAN,113.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,66.8,,MCLEAN-ILLINOIS,-88.84135380628747,40.48955704742156,1620.3126063613106,1876.225161259631,2055.5601639502256,2434.9241990055934,3466.2096300610847,5295.876617325095,6983.672430226014,7615.843639668186,7026.764712055852,6571.228321689506,3260.6626401711906,2450.85785326043,1616.1219858181917,0.0,0.0,0.0,0.0,0.0,2.4245810129123027,2.553072628528712,0.0,0.0,0.0016759777202286531,0.0,0.0,0.0,286.86536275341524,295.94469089614614,297.0692738794082,292.75474948989614,304.1569832743213,295.9994392608131,305.07597802870765,300.65754145616927,299.4111725364983,299.7564248878863,301.4005585569243,294.9351963490747,291.6793304954827
6,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,MENARD,129.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,63.9,,MENARD-ILLINOIS,-89.80136039064588,40.0310187242621,2035.097514683108,2351.623124609738,2453.8156674313955,3113.075425254247,3759.3191882222945,5205.6431142621095,6549.4887007269135,7106.035756106658,6925.289127198592,6106.125453865398,4817.988115192279,2510.5790335010115,1907.9832913451567,0.0,0.0,0.0,0.0,0.0,1.0591836802813472,0.6122449016084477,0.0,0.0,0.0,0.0,0.0,0.0,288.12245209363044,296.0163275271046,302.9163251604353,295.8653016382334,303.9632643096301,296.40816077407527,306.6591828015386,301.9428573919802,299.0612232441805,299.75101953623243,303.0408194405692,296.04898195850603,292.27959021743465
7,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,PEORIA,143.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,63.9,,PEORIA-ILLINOIS,-89.78760990335005,40.7998233469731,2010.7459858090774,2620.235007118094,3011.7648935960847,3223.586211548813,4211.2282463537895,5333.161693268531,6696.433645184974,7223.044186374337,6957.5911370942185,6197.221852423936,4860.081376117587,2752.124995629161,2122.755349118891,0.0,0.0,0.0,0.0,0.0,2.7908163186238735,14.355102042762601,0.0,0.0,0.0,0.0,0.0,0.0,287.65918435855787,295.68061392647877,297.546938837791,294.5183687793965,303.7500024912309,295.2295915253308,304.7499996885961,300.575509830397,298.6897969148597,298.96530462771045,302.10918348662705,294.9122417216398,291.5581621442522
8,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,STARK,175.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,64.6,,STARK-ILLINOIS,-89.80091341405084,41.09109653603565,1700.7065094638285,2110.52073942235,2325.9245883572576,2565.806927233525,3735.4133152061163,5585.7562524905625,7177.17577709795,7602.284626332589,7489.892399261246,6756.861299549156,4737.6367259713525,2626.974077082507,1644.1862005014646,0.0,0.0,0.0,0.0,0.0,2.79824560880661,12.303508797235656,0.0,0.0,0.0,0.0,0.0,0.0,287.5596522281044,295.69824754146106,295.4736836751302,294.1912279630962,303.9649149576823,294.93859702662417,303.9578943085252,299.8771935178522,298.0438569721423,297.81929738898026,301.7842085988898,294.8298227410567,291.3859606291118
9,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,TAZEWELL,179.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,66.8,,TAZEWELL-ILLINOIS,-89.50339113243346,40.493410904331206,1934.1320057535,2246.491939761975,2427.1465904998513,2910.9367340496956,3596.195770409844,5208.788834030792,6686.8328610521085,7329.210726871844,6776.497066029428,6201.787352085431,5042.881458261034,2624.442076880439,1962.3017136325134,0.0,0.0,0.0,0.0,0.0,3.3245283185311085,5.594339621516894,0.0,0.0,0.0,0.0,0.0,0.0,287.79905873424605,296.14622756670104,298.99056574983416,294.53962390827684,304.08019213406544,295.8839615156066,305.5028312251253,301.18679320137454,299.59811199836014,300.02358404195536,302.61792539200695,295.5641519798423,292.23773452470886
