,Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%),key,longitude,latitude,EVI_04-07,EVI_04-23,EVI_05-09,EVI_05-25,EVI_06-10,EVI_06-26,EVI_07-12,EVI_07-28,EVI_08-13,EVI_08-29,EVI_09-14,EVI_09-30,EVI_10-16,pr_04-07,pr_04-23,pr_05-09,pr_05-25,pr_06-10,pr_06-26,pr_07-12,pr_07-28,pr_08-13,pr_08-29,pr_09-14,pr_09-30,pr_10-16,tmmx_04-07,tmmx_04-23,tmmx_05-09,tmmx_05-25,tmmx_06-10,tmmx_06-26,tmmx_07-12,tmmx_07-28,tmmx_08-13,tmmx_08-29,tmmx_09-14,tmmx_09-30,tmmx_10-16
0,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,DE WITT,39.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,65.9,,DE WITT-ILLINOIS,-88.90675374121079,40.17381050038323,1698.685803562362,1901.3409328238938,2192.2285260279473,3197.165518637712,4916.219406954634,5970.562280489707,6979.689194010347,7405.215487477569,6658.106543913624,5168.696411560825,2577.0080416293445,2003.7927151668218,1699.461271939416,5.5687134487288334,0.0,4.681647397790637,0.05293286549193518,0.1032648361154965,21.078927490328038,0.16857142938034875,5.847788846279894,0.0,0.8107241083468709,0.0,0.0,0.0,289.2674564906529,292.1905271257673,298.3786283220564,297.4433523995536,305.1330841064453,295.5542399815151,304.67915976388116,303.31551840645926,300.6478190830776,299.9526840209961,301.16177607945036,294.7394053867885,290.0815577915737
1,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,LOGAN,107.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,64.7,,LOGAN-ILLINOIS,-89.36698347942955,40.122410638269976,1761.6086561384086,1944.3697203751876,2171.7702476197546,3219.934589161048,4952.165166348724,5949.335369626758,6804.333693456469,7339.525611346282,6482.095823645874,5122.25926718522,3174.264493742225,2119.986489098464,1674.7161700966349,2.0625141794138617,0.0,5.047542600348445,0.10284791857299239,0.5502927083485197,16.376656405406422,0.22772277286737272,0.648025058136128,0.0,0.28296564165318366,0.0,0.0,0.0,290.2495747179088,292.69964070839455,299.37937141645074,298.4075905072807,305.54827397412595,295.98169942421487,305.39939971017367,303.81070036935336,300.9037560189124,300.1840759881652,302.091724811214,295.10269814670676,290.3533672672687
2,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,MACON,115.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,66.2,,MACON-ILLINOIS,-88.9717571208373,39.86017652450964,1740.4117182963262,1885.27657155271,2067.6944497470063,3368.75288299393,5028.597293270117,6034.390155314442,6929.8588820041605,7552.696305606299,6597.1430198230755,4715.207299210302,2457.8980854514734,1993.8606148373904,1677.45410961372,1.3467273477352026,0.0,3.624754507975145,0.0025647356654658463,0.0,11.295202546950543,0.13818181662848503,1.9374529154011697,0.0,0.09352346189094313,0.0,0.0,0.0,289.8126538825758,292.5469471324574,299.6609998298414,298.16923513701465,304.9337910970052,295.8259602864583,305.140019642223,303.7087062026515,300.64260975230826,300.54408939245974,301.0525993578362,295.45580943714486,290.4075348825166
3,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,MARSHALL,123.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,60.1,,MARSHALL-ILLINOIS,-89.34435099476339,41.03711503036387,1706.18753744628,2127.061692974796,2447.0827269583788,2958.7971629486847,4250.215851961107,5360.9475283592565,6588.842058869144,7226.11877319301,7159.485845583213,6363.781753296563,4329.155128996591,2468.714959052768,1887.5284515938083,4.619091243886236,0.0,1.7511165577973893,1.6385274373773318,28.26361446238276,9.909839316535352,12.13054556899996,12.011488779267268,0.0,0.0,0.0,0.0,0.0,287.12204047815123,291.8753404759649,294.89711886733323,296.6616224602087,305.282459315969,294.9437178426714,303.9230385396018,302.1646792283699,300.42796120714786,299.07871667662664,302.07847253600164,293.88515073861646,289.1513740197936
4,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,MASON,125.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,62.1,,MASON-ILLINOIS,-89.8820493048028,40.242873083980605,2019.5298403140264,2126.8183658456505,2352.7324129328867,3461.992823201714,4507.263133324956,5671.398929781922,6205.923394316891,6443.237820481167,5778.597439364145,4681.200366390319,3512.456914389965,2315.238136646745,1911.4833596165565,2.0425765519180605,0.0,2.567136353062045,0.45842084160415075,6.0361944331276804,20.395505354929995,2.9064515971688816,0.15397089479431028,0.0,0.22651176459045821,0.0,0.0,0.0,290.2433586530788,292.8834751908497,299.67879018475935,298.513917328209,305.54758773311494,296.160654867849,305.71561702605214,304.24520332582534,300.99654626333586,300.6086122246199,302.9509085378339,295.00853245232696,290.6224063340054
5,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,MCLEAN,113.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,66.8,,MCLEAN-ILLINOIS,-88.84233278258831,40.490514081731746,1612.9196753855451,1841.5378250490548,2038.1193201239114,2801.4511736332793,4283.658029376662,5602.1364627234125,6895.586662479415,7348.645174485711,6892.236249352239,6062.456645971495,2883.8881196234543,2167.794720991876,1699.9074157681137,7.3896636177041675,0.0,3.0539277798636664,0.6687509330124829,2.961891027718949,16.456502995344515,1.276536314264356,13.992561476190662,0.0,0.9031170255312041,0.0,0.0,0.0,288.31262658827796,292.01838129991927,296.8027976265167,296.9583292700059,305.35365482948345,295.4861977859582,304.29537895671484,302.96856501914937,300.7389231420762,299.8072559207511,301.5979672224162,294.24627540631,289.7863911037339
6,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,MENARD,129.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,63.9,,MENARD-ILLINOIS,-89.80029000451566,40.030043511658214,1962.7040780572863,2272.621113592156,2525.66711410468,3690.4428168919926,4916.735196302207,5972.5656745708375,6530.040114401252,6888.309166451599,6304.382482513697,4846.290280023116,3586.430315591414,2326.701428406183,1944.4558308837998,0.017774805426597595,0.0,1.5525384034429277,0.04519021511077881,1.8472798162577104,18.4963626447989,0.30612245080422384,0.06858878232994858,0.0,0.4303118914973979,0.0,0.0,0.0,290.73915037816886,292.84685563068,299.43652841996175,298.5840142697704,305.32681772660237,296.06594474948184,305.60848282794564,304.1556390256298,300.8069296077806,300.258745154556,302.5519013696787,295.1475833192164,290.48273826132015
7,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,PEORIA,143.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,63.9,,PEORIA-ILLINOIS,-89.78864228974547,40.79952034982683,1961.767528667311,2506.3140251159116,2992.839092415581,3672.416273028695,4852.1336614074635,5756.5047098728255,6430.048663840207,6891.750698015539,6599.130091093034,5641.339712799042,4054.880687443181,2577.659140214672,2173.9415441336705,4.500923402492816,0.0,0.8666527213194432,0.2966057263887846,24.647531450711764,7.211794675619174,7.214358975337102,9.927801482494061,0.0,0.05839251860594138,0.0,0.0,0.0,288.068935139974,292.21026830428684,297.11167586889025,297.6637149126102,305.2022229316907,294.9190564277845,304.48150040064104,302.49697656876003,300.4354199531751,299.3260000375601,302.42466994065506,294.0314481295072,289.4227812938201
8,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,STARK,175.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,64.6,,STARK-ILLINOIS,-89.80007458960179,41.09013991495626,1680.0368480790155,2031.5368588933886,2299.9080865906644,2772.8150799001787,4633.091365680051,5977.356368487764,6979.275654921926,7473.978315107209,7302.190358000816,6094.23082532957,4263.895125630611,2344.7730774257425,1790.255637694949,3.3441068477797926,0.0,0.7621939004513255,0.11706123853984632,17.203285075070564,4.557278024000034,6.151754398617828,8.949157639553672,0.0,0.0,0.0,0.0,0.0,287.10637490791186,291.7798360188802,295.8387314645868,297.1555893212034,305.041967291581,294.57293246085186,303.65009535404675,301.4966623406661,299.8795819198876,297.90858539782073,302.00368111593684,293.6293107417592,288.8529403418825
9,SURVEY,2017,YEAR,,COUNTY,ILLINOIS,17,CENTRAL,40,TAZEWELL,179.0,,,0,,SOYBEANS,"SOYBEANS - YIELD, MEASURED IN BU / ACRE",TOTAL,NOT SPECIFIED,66.8,,TAZEWELL-ILLINOIS,-89.50386995163502,40.49209322950111,1864.0541530125934,2172.564053672897,2476.8852015903612,3348.238541402622,4424.331689034288,5561.071074466237,6287.785434063309,6821.09704280115,6282.623885652616,5488.699174866779,3798.539713293508,2372.3898039087894,1951.4830733614383,8.151564899779045,0.0,1.4395097595820494,2.81721943221386,11.82881557997934,20.62122877514193,2.810426539719387,6.677912799667973,0.0,0.005503735694840056,0.0,0.0,0.0,289.0521192505461,292.5516664043987,297.82556586242964,297.83731990289914,305.50096296699127,295.5150523976692,305.0305291487707,303.40165254855043,301.08401084285214,300.3137144839029,302.68385510196055,294.738063287961,290.2059125131905
