,Year,County,State,Value
0,2015,DALLAS,ALABAMA,29.7
1,2015,HALE,ALABAMA,35.2
2,2015,LOWNDES,ALABAMA,28.0
3,2015,PERRY,ALABAMA,27.7
4,2015,SUMTER,ALABAMA,29.6
5,2015,BALDWIN,ALABAMA,43.4
6,2015,ESCAMBIA,ALABAMA,35.9
7,2015,MONROE,ALABAMA,30.9
8,2015,BLOUNT,ALABAMA,43.8
9,2015,CHEROKEE,ALABAMA,30.3
10,2015,CULLMAN,ALABAMA,53.6
11,2015,ETOWAH,ALABAMA,36.9
12,2015,JACKSON,ALABAMA,35.0
13,2015,COLBERT,ALABAMA,44.1
14,2015,LAUDERDALE,ALABAMA,46.5
15,2015,LAWRENCE,ALABAMA,42.6
16,2015,LIMESTONE,ALABAMA,47.4
17,2015,MADISON,ALABAMA,45.8
18,2015,MORGAN,ALABAMA,42.9
19,2015,CHILTON,ALABAMA,41.7
20,2015,FAYETTE,ALABAMA,22.2
21,2015,TALLADEGA,ALABAMA,40.3
22,2015,TUSCALOOSA,ALABAMA,44.2
23,2015,BARBOUR,ALABAMA,52.1
24,2015,COVINGTON,ALABAMA,38.4
25,2015,GENEVA,ALABAMA,36.7
26,2015,HOUSTON,ALABAMA,26.7
27,2015,PIKE,ALABAMA,30.0
28,2015,PERRY,ARKANSAS,25.4
29,2015,ARKANSAS,ARKANSAS,53.9
30,2015,CRITTENDEN,ARKANSAS,43.7
31,2015,CROSS,ARKANSAS,48.2
32,2015,LEE,ARKANSAS,47.6
33,2015,LONOKE,ARKANSAS,46.4
34,2015,MONROE,ARKANSAS,46.4
35,2015,PHILLIPS,ARKANSAS,47.1
36,2015,PRAIRIE,ARKANSAS,47.9
37,2015,WOODRUFF,ARKANSAS,40.7
38,2015,CLAY,ARKANSAS,49.9
39,2015,CRAIGHEAD,ARKANSAS,52.0
40,2015,GREENE,ARKANSAS,45.2
41,2015,INDEPENDENCE,ARKANSAS,40.8
