,key,y,longitude,latitude,EVI_04-07,pr_04-07,tmmx_04-07
0,ADAIR-IOWA,2.246140821321858,-94.47289339879417,41.33163308587338,2065.4339784032486,1.1057083403522319,284.4323002208363
1,ADAMS-ILLINOIS,4.696377101353445,-91.18004290271833,40.00106925799077,2287.445078545164,0.6266176354635012,292.33246639225035
2,ADAMS-IOWA,2.1614638340405063,-94.68490225288923,41.0291317150472,2095.0838428294455,0.827426452979897,285.3173680160985
3,ADAMS-OHIO,8.375459894571451,-83.52483424554569,38.889963415385466,2789.074280308788,4.695975091146386,292.76227304209834
4,ALLAMAKEE-IOWA,10.104951358042936,-91.43439477246821,43.25613338262523,1986.9598281892136,17.37006802992387,281.5047643488104
5,ALLEGAN-MICHIGAN,0.3835804207231374,-85.86631838318877,42.59724723115846,1852.9538621368833,2.5873018874638323,284.259014406066
6,ALLEN-OHIO,2.1606886197730693,-84.10426941164347,40.77634186570952,1848.184933314068,6.928641980489095,286.10876627604165
7,APPANOOSE-IOWA,3.254706686905499,-92.88392681983834,40.731724285823034,2605.756144965352,1.8700986470688472,285.7503356933594
8,ARENAC-MICHIGAN,2.3638446061168787,-83.86960174441838,44.05485546800791,1766.9137510317873,8.029887476963783,280.82406935051307
9,ASHTABULA-OHIO,3.205607955008706,-80.724194176957,41.674835157005155,2188.5846409900323,7.291222515653391,283.9879668188877
10,ATHENS-OHIO,7.511634114688675,-82.0692677069012,39.304764443826805,2626.574142647664,6.682479974296358,292.6746203104655
11,AUDRAIN-MISSOURI,8.151625837879221,-91.83758465997434,39.22155816477876,2405.0979235090063,7.25654399289494,295.8942368769013
12,AUDUBON-IOWA,1.819341552193736,-94.90535078174307,41.684726974384894,1630.847358751237,0.9972659452921815,282.07218594021265
13,AUGLAIZE-OHIO,1.8156855738439936,-84.22083829635915,40.56175728518067,1789.3126856661606,5.969541200569698,287.7248431614467
14,BARNES-NORTH DAKOTA,6.368869206307009,-98.0727028984287,46.93276479596992,1196.6939431909138,2.039373979508448,275.6023159987635
15,BARRY-MICHIGAN,1.1526906690280174,-85.27874305858073,42.60408626264252,1824.9431046607538,3.0698603242635727,283.97737884521484
16,BARTON-MISSOURI,24.543500579759165,-94.36328738489479,37.49718662718865,3837.0607970887654,0.10055375876634018,301.13321718962294
17,BATES-MISSOURI,24.09280424805667,-94.35578468441118,38.259974630965004,2931.4684331858953,14.078633326647887,301.97518123797516
18,BAY-MICHIGAN,3.024054618458664,-83.98439594196034,43.695221172232316,1631.4501277262407,9.725622305503258,281.09896107209033
19,BEADLE-SOUTH DAKOTA,3.0650892233021274,-98.27509211297861,44.42384478927847,1656.7205468238926,0.6528941133561043,277.95417169424206
20,BENSON-NORTH DAKOTA,6.927141956181671,-99.41930912624628,48.08577343883006,1183.5029287209366,2.1228598378996812,274.19023470114206
21,BENTON-IOWA,1.1400841313493175,-92.07263922122068,42.07969678787574,1720.7593692315743,1.039793052998456,284.70277571244674
22,BLACK HAWK-IOWA,0.7410245757187638,-92.31084586398617,42.46132317719459,1659.45728009077,4.017912250825728,283.39832490066004
23,BOND-ILLINOIS,11.678836942282368,-89.42901495282392,38.88139198188185,2974.5856592229607,11.884466866315421,293.1577919135659
24,BOONE-ILLINOIS,2.631759508813074,-88.82347623013442,42.32270028093497,1616.8583573558542,0.23516918967167535,282.113494237264
25,BOONE-IOWA,0.2998843885301571,-93.92324471262218,42.03406468267242,1502.2335441706734,2.397734051400965,282.08118854869497
26,BOONE-MISSOURI,16.06987655289029,-92.28624239584082,39.002536378227255,3193.6932246632505,11.93786304851748,297.85844335016213
27,BOTTINEAU-NORTH DAKOTA,8.065251196141237,-100.86087713643188,48.78229744426819,1297.0815573265168,1.5968516324676059,275.10605462991964
28,BRANCH-MICHIGAN,2.4582506330299982,-85.06548807400392,41.91414293615392,1783.5586090707088,1.1645333109931513,281.99662815440786
29,BREMER-IOWA,2.0216510000234065,-92.31626284986471,42.779343062537805,1579.8025028245868,8.847078769237964,282.4937268542005
30,BROOKINGS-SOUTH DAKOTA,4.206226619933111,-96.7873635112809,44.372804845484026,1453.9332030468336,0.34598776372149587,276.8795282840729
31,BROWN-ILLINOIS,4.56235312811148,-90.75410212297072,39.9681900302076,2213.3782938263253,0.11048396690836493,292.63332554079454
32,BROWN-OHIO,5.9353394513478746,-83.87673335639228,38.97419815217875,2606.110844710155,5.671599868181589,292.3108866923564
33,BROWN-SOUTH DAKOTA,3.902488355297156,-98.34199635885139,45.56374593215364,1456.817631301191,0.0,276.7501105022775
34,BRULE-SOUTH DAKOTA,2.86652288899397,-99.05940294857031,43.71280621291842,1660.8038783152654,0.46218544967910824,279.01285418342144
35,BUCHANAN-IOWA,0.4046443611705002,-91.83833064343652,42.470159595538334,1604.3337037227943,4.15212802524152,283.5764180059018
36,BUCHANAN-MISSOURI,12.562090541599297,-94.80324981496577,39.65112461428644,2234.725256908516,3.232915239803719,300.6574596058239
37,BUENA VISTA-IOWA,3.3366971704881148,-95.15398167384802,42.7360772741084,1269.345251421979,6.096628014788483,279.1413682109178
38,BUREAU-ILLINOIS,0.5927058081103452,-89.53272668615614,41.40720104478907,1660.184809444636,1.6121426043303118,285.60035816137344
39,BUTLER-IOWA,1.3196976960551672,-92.79338239899812,42.73235756639584,1593.0467996141358,9.182709376017252,282.0648699159975
40,BUTLER-OHIO,5.967185528943199,-84.61993215887368,39.45369488140585,2608.3518514522066,1.6544297258537937,292.7278600485928
41,CALDWELL-MISSOURI,11.442952722409176,-93.96629210480248,39.66054527300112,2892.8951207195532,0.08335385358694827,298.5067314379143
42,CALHOUN-ILLINOIS,6.300327060147659,-90.66111964116567,39.12911658410616,2527.0053199436447,4.819742026536361,294.9595894191576
43,CALHOUN-IOWA,3.850116369670763,-94.64231397978159,42.389747095794654,1220.25195015104,9.099537480961192,280.6731803200462
44,CALHOUN-MICHIGAN,1.180405179011482,-84.96702263409814,42.22302880038244,1853.8628193425998,1.1681439823337965,283.347028187343
45,CAMPBELL-SOUTH DAKOTA,4.164564725676165,-100.01449951446848,45.7619614436994,1493.8728654523347,0.15316587833451553,278.2627236809529
46,CAPE GIRARDEAU-MISSOURI,18.060428305975037,-89.70644153038118,37.358911728044916,3761.4020794152284,5.295996706564348,296.90906901935955
47,CARROLL-ILLINOIS,1.5205725927111382,-89.90031683615507,42.05071534935855,1740.4562156988384,0.07635587933419764,284.43533570739044
48,CARROLL-IOWA,0.514474344930796,-94.86955272299774,42.03498527264131,1537.5597869543412,4.895672864534638,280.8088035583496
49,CARROLL-MISSOURI,12.052014744403612,-93.51125810277564,39.413941894960615,2581.9613200355,0.8532260845013715,299.22422328564005
50,CASS-ILLINOIS,4.265427940084368,-90.23765062986519,39.960455946115296,1872.0211798401224,0.0214094200678039,293.64956718578674
51,CASS-IOWA,1.5310308035898712,-94.92876026516943,41.326669124003786,1740.0707249856375,0.476303003389727,284.13654258034444
52,CASS-MICHIGAN,0.9379466166843672,-85.99433510822145,41.9098038620503,1839.7166820193718,1.4766689689680077,283.27881420617814
53,CASS-MISSOURI,17.008919557520326,-94.33211617520112,38.63331733501773,2922.144959511575,5.661049184766975,301.7488199869792
54,CASS-NORTH DAKOTA,5.123923102695434,-97.26369629157882,46.937801835345724,1119.6608672476502,2.709500570016302,277.16605663906995
55,CAVALIER-NORTH DAKOTA,8.193844438142598,-98.49632853094384,48.76660185848054,1028.8742746616217,3.6309929383884776,275.1675655850497
56,CEDAR-IOWA,0.8096350803796032,-91.12707278243857,41.77462684692984,1761.3405128435122,1.556837012671461,285.2765882087476
57,CERRO GORDO-IOWA,4.447555304773059,-93.25573775163973,43.076767146634644,1356.3022028257494,12.585982918739319,279.34803945367986
58,CHAMPAIGN-ILLINOIS,4.3788290988178025,-88.19442964096176,40.13396798406103,1558.5873810439073,11.246453027547517,291.495361328125
59,CHAMPAIGN-OHIO,2.884787766046731,-83.76800979478978,40.13798672687088,1938.3050146326996,7.283527495204538,289.57703565514606
60,CHARITON-MISSOURI,8.576344516705014,-92.97399890455553,39.49814432758417,2390.2039670805625,4.823109447471494,297.55785090748856
61,CHARLES MIX-SOUTH DAKOTA,2.1873569439458658,-98.51321232656994,43.196530821498484,1705.4475657961966,1.4196413696449708,279.79130007493944
62,CHEROKEE-IOWA,1.834759120766253,-95.62848456986934,42.735490423877714,1469.99914096723,3.60862171098038,279.2405570701317
63,CHICKASAW-IOWA,1.1761244884391242,-92.303684963174,43.05804898849192,1568.411811730263,10.32725833298324,281.20794677734375
64,CHRISTIAN-ILLINOIS,3.858444885962101,-89.27496247074426,39.54052378505216,1700.7152654369768,2.559878875469339,292.79642933812636
65,CLARK-ILLINOIS,3.757753726390148,-87.79194635340154,39.33327413588029,1901.2152121813488,4.266267481522682,292.5928239088792
66,CLARK-OHIO,2.669110309129312,-83.77625655578622,39.915225722331336,2182.2076673286933,5.38811459238567,290.3009289938306
67,CLAY-ILLINOIS,7.211347319674052,-88.48319861893133,38.75726294438729,2820.800426778146,6.022292117549949,293.2270256983091
68,CLAY-IOWA,1.6629402238407394,-95.1597464404372,43.08390130841027,1391.9868301387046,3.7280072691765698,279.01882899891245
69,CLAY-SOUTH DAKOTA,2.0465143805869483,-96.97089693036779,42.91648244326049,1571.3497521000331,1.4848610146625623,280.139655448295
70,CLAYTON-IOWA,1.1584980196139043,-91.38339030079547,42.87127866721665,1835.2300028835873,7.396978342974627,282.72907488787615
71,CLERMONT-OHIO,6.640362830938793,-84.10496278681656,39.06545228737583,2668.107881112742,5.306896768825155,292.4121669715559
72,CLINTON-ILLINOIS,24.927694303764035,-89.43666190910588,38.60516681411882,3402.358696296669,22.0731988123485,293.4619827270508
73,CLINTON-IOWA,0.224838875849469,-90.55118820909348,41.90123055189626,1745.8989030291175,1.0579964826587869,284.91651826746323
74,CLINTON-MICHIGAN,2.419665011056744,-84.60952759400081,42.947360650997105,1863.7273466269683,8.192061436296713,284.4012503575797
75,CLINTON-MISSOURI,11.911947688827777,-94.40942195956391,39.61474399806955,2491.829795223182,0.29664900709712316,300.0802389477927
76,CLINTON-OHIO,4.747808356871671,-83.80122829619124,39.41168814499905,2137.5482811000325,5.66898153629154,291.7463173866272
77,CODINGTON-SOUTH DAKOTA,4.656531455661808,-97.19432064867537,44.97951895987008,1438.5349470328322,0.4723886481037846,275.9288915563513
78,COLE-MISSOURI,21.96203831315759,-92.24608693386324,38.51015762985854,4075.2417469413053,2.2433733670942244,298.2735630158455
79,COLES-ILLINOIS,5.2771292965015135,-88.2288627415496,39.52429379665635,1771.6632705154557,8.712840937537912,292.2261231975791
80,COLUMBIANA-OHIO,4.773850042864919,-80.83482340052237,40.801712527626975,2673.7219386858296,8.444066378944799,289.0222852204975
81,COSHOCTON-OHIO,7.170787460794664,-81.90372546340419,40.30657291927624,2633.442372292721,10.405949721175633,290.01900867933637
82,CRAWFORD-ILLINOIS,4.372047571188319,-87.76286703135452,39.002648845837314,2081.977337772066,3.036352244583336,292.67901611328125
83,CRAWFORD-IOWA,0.5779116005665621,-95.37289421510827,42.04188456594279,1570.5502539588829,2.346130340227059,280.7595650809152
84,CRAWFORD-OHIO,2.818005580478367,-82.91878950372374,40.85369665834745,1805.942967505602,6.233151422228132,287.2150839669364
85,CUMBERLAND-ILLINOIS,4.465443191518185,-88.24362707898295,39.27584141384568,1960.903712192622,3.5592040473764595,292.5116044477983
86,DADE-MISSOURI,28.950925801294996,-93.96620520271539,37.4130246275468,4314.447555506911,0.0,300.9127917680584
87,DALLAS-IOWA,1.3435736047082056,-94.03847795427532,41.69209413848388,1764.0931381475398,1.0644662031019576,282.87651262379654
88,DARKE-OHIO,1.92421706703657,-84.61913621598028,40.13121807087282,1764.136856604306,6.413094074829765,289.44799472974694
89,DAVIESS-MISSOURI,8.773660377918157,-93.97143910975521,39.9673988241575,2621.800047857239,0.024827228689735584,295.73487854003906
90,DAVIS-IOWA,4.005433304195356,-92.3883597533853,40.729819943093474,2636.3719032752815,4.509619860486551,286.35972907326436
91,DAY-SOUTH DAKOTA,6.347255988046851,-97.63458206838605,45.3669126344283,1282.1959061354225,0.093892551273913,275.7811025258657
92,DE WITT-ILLINOIS,5.27987915138257,-88.90781344877648,40.17417216482615,1683.149443136307,11.137426897457667,291.61205618722096
93,DEFIANCE-OHIO,2.288414971482092,-84.49218950398122,41.32670307526996,1742.8361743621197,2.239610167650076,281.3051776592548
94,DELAWARE-IOWA,0.799006463984383,-91.3890456753747,42.46535918628073,1635.8075115318636,5.256170723032444,283.3331828015916
95,DELAWARE-OHIO,4.239591792010101,-83.0122906748304,40.299888914668585,2214.147609132272,6.100648024876913,289.94900797526043
96,DES MOINES-IOWA,9.10672429880188,-91.19463035084526,40.93804190596216,1961.6067878003435,11.574227173709208,286.87545013427734
97,DICKEY-NORTH DAKOTA,6.657118151202741,-98.4583934154062,46.1191376719125,1363.5148754614793,0.23096173085817476,275.93761879525533
98,DICKINSON-IOWA,2.497764249338694,-95.14662863937934,43.370048749810216,1397.42807455188,5.637956763758804,278.36666084058356
99,DOUGLAS-ILLINOIS,3.8371392697818414,-88.22280738433078,39.76550041854341,1643.0243588148594,6.321759071506437,292.4061439389088
100,DUBUQUE-IOWA,1.9453811690429568,-90.90248237712318,42.45864702920038,1995.997452941942,4.659782102964456,283.5827444132092
101,DUNKLIN-MISSOURI,12.051926052388373,-90.08786037999587,36.26957039256413,2446.640294222494,0.0761799352404512,298.20234887393906
